R_name,R_rating,location
Jee Enn Bakery,4.5,Srinagar
Nedous Dining Room,4.0,Srinagar
Winterfell Cafe,4.5,Srinagar
Jade Dragon Vivanta Taj Hotel,4.0,Srinagar
Bistro Boulevard by Pincer Foods,4.0,Srinagar
Punjabi Tadka,4.0,Srinagar
cs cafe n fine dine,4.5,Srinagar
Wah Kabab,5.0,Srinagar
Wazwan,4.0,Srinagar
Creme,4.5,Srinagar
Wazwan Restaurant,4.5,Srinagar
Cafe de Lintz,4.0,Srinagar
Vishal Vaishno Dhaba,4.0,Srinagar
Delhi Rasoi,4.0,Srinagar
th Avenue Cafe Grill Bakeshop,4.0,Srinagar
Books Bricks Cafe,4.0,Srinagar
Hollywood Bakery,4.5,Srinagar
Chung Wah Restaurant,4.0,Puri
Honey Bee Bakery Pizzeria,4.0,Puri
Wildgrass Restaurant,4.0,Puri
Bhojohori manna,4.0,Puri
Victoria Club Hotel,4.5,Puri
The Gajapati,4.0,Puri
Agarwals Pure Veg Restaurant,4.0,Puri
Swaad Restaurant,4.0,Puri
New Parijat Restaurant,4.0,Puri
Pink House,4.0,Puri
Fusion,4.0,Puri
Dalmia Atithi Vihar,4.5,Puri
Bakers Boutique,4.0,Puri
Dominos Pizza,4.0,Puri
Peace Restaurant,4.0,Puri
The Restaurant at Puri Hotel,4.0,Puri
The Grand Regency,4.0,Puri
Radhika Restaurant,4.5,Puri
Phulpatna Ethnic Restaurant,4.5,Puri
Food Court,4.5,Puri
Ganguram Sweets,4.0,Puri
The Dining Car Chanakya BNR Hotel,4.0,Puri
Dalma,3.5,Puri
Puri Pet Pooja,4.5,Puri
Mamas Cafe,5.0,Puri
RASOI,4.0,Puri
Nandan aC Veg Restaurant,3.5,Puri
Smoke House,4.0,Puri
Bangalir Swade Ahlade,4.5,Puri
Nandan,4.0,Puri
Bonappetit Bakes n Fries Fast Food Restaurant,4.5,Dalhousie
Kwality,4.0,Dalhousie
The Bridge,5.0,Dalhousie
Cafe By Mongas,4.0,Dalhousie
Old SherePunjab Dhaba with Himachli Kitchen,4.0,Dalhousie
Brew Bakes Dalhousie,5.0,Dalhousie
The Dining Hut,5.0,Dalhousie
friends sherepunjab restaurant,4.5,Dalhousie
